0,,,,0,,,,0,,,,0,,,,,,Para,,,,,Para,
Force (N),Position (m),,,,,,,,,,,,,,,,,,,,,,,
0,0.15,,,Run #21,Run #21,,,,,,,,,,,,,,,,,,0,
0,0.15,,,Force (N),Position (m),,,Run #38,Run #38,,,,,,,,,0,,,,,Run #74,Run #74
1.5,0.19,,,Force (N),Position (m),,,1.6,0.25,,,1.4,0.4,,,,,,,,,,1.6,0.39
1.5,0.19,,,1.7,0.17,,,1.6,0.25,,,1.4,0.4,,,,,,,,,,1.6,0.39
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,1.4,0.41,,,,,180,,,,,1.6,0.39
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,1.4,0.4,,,,,Run #68,Run #68,,,,,
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,1.4,0.4,,,,,Force (N),Position (m),,,,,
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,,,,,,,1.7,0.18,,,,180,
1.4,0.19,,,1.7,0.16,,,1.6,0.25,,,,,,,,,1.8,0.18,,,,Run #81,Run #81
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,,,,,,,1.8,0.18,,,,Force (N),Position (m)
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,,,,,,,1.8,0.18,,,,1.8,0.4
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,150,,,,,,1.8,0.18,,,,1.8,0.4
1.5,0.19,,,1.7,0.16,,,1.6,0.25,,,Run #55,Run #55,,,,,1.8,0.18,,,,1.8,0.4
1.5,0.19,,,1.7,0.16,,,,,,,Force (N),Position (m),,,,,1.8,0.18,,,,1.8,0.4
1.5,0.19,,,1.7,0.16,,,,,,,1.5,0.41,,,,,1.8,0.18,,,,1.8,0.4
1.5,0.19,,,,,,,,,,,1.5,0.41,,,,,1.8,0.18,,,,1.8,0.4
,,,,170,,,,170,,,,1.5,0.41,,,,,1.8,0.18,,,,1.8,0.4
,,,,Run #28,Run #28,,,Run #45,Run #45,,,1.5,0.41,,,,,1.8,0.18,,,,1.8,0.4
160,,,,Force (N),Position (m),,,Force (N),Position (m),,,1.5,0.41,,,,,1.8,0.18,,,,1.8,0.4
Run #16,Run #16,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,,,,,,1.8,0.4
Force (N),Position (m),,,1.8,0.17,,,1.7,0.26,,,1.5,0.42,,,,,,,,,,1.8,0.4
1.6,0.2,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,,,,,,1.8,0.4
1.6,0.2,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,,,,,,1.8,0.4
1.6,0.2,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,200,,,,,1.8,0.4
1.5,0.2,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,Run #69,Run #69,,,,,
1.5,0.19,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,Force (N),Position (m),,,,,
1.5,0.19,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,2,0.18,,,,,
1.5,0.19,,,1.8,0.17,,,1.7,0.26,,,1.5,0.41,,,,,1.9,0.18,,,,,
1.5,0.19,,,1.8,0.17,,,1.7,0.26,,,,,,,,,1.9,0.18,,,,200,
1.6,0.19,,,1.8,0.17,,,1.7,0.26,,,,,,,,,1.9,0.18,,,,Run #83,Run #83
1.6,0.2,,,1.8,0.17,,,1.7,0.26,,,,,,,,,2,0.18,,,,Force (N),Position (m)
1.6,0.2,,,,,,,1.7,0.26,,,,,,,,,2,0.18,,,,2,0.42
1.6,0.2,,,180,,,,,,,,160,,,,,,2,0.18,,,,2,0.41
1.6,0.2,,,Run #30,Run #30,,,,,,,Run #56,Run #56,,,,,2,0.18,,,,2,0.41
1.6,0.2,,,Force (N),Position (m),,,,,,,Force (N),Position (m),,,,,2,0.18,,,,2,0.42
1.6,0.2,,,1.9,0.17,,,,,,,1.7,0.42,,,,,2,0.18,,,,2,0.4
,,,,1.9,0.17,,,,,,,1.5,0.42,,,,,1.9,0.18,,,,2,0.4
170,,,,1.9,0.17,,,,,,,1.7,0.42,,,,,1.9,0.18,,,,2,0.4
Force (N),Position (m),,,1.9,0.17,,,,,,,1.6,0.42,,,,,1.9,0.18,,,,2,0.4
1.7,0.2,,,1.9,0.17,,,,,,,1.6,0.42,,,,,2,0.18,,,,2,0.41
1.7,0.2,,,1.9,0.17,,,,,,,1.7,0.42,,,,,,,,,,2,0.41
1.7,0.2,,,1.9,0.17,,,,,,,1.6,0.42,,,,,,,,,,2,0.41
1.7,0.2,,,1.9,0.17,,,,,,,1.6,0.42,,,,,,,,,,2,0.41
1.7,0.2,,,1.9,0.17,,,,,,,1.7,0.42,,,,,220,,,,,2,0.41
1.7,0.2,,,1.9,0.17,,,,,,,1.6,0.42,,,,,Run #70,Run #70,,,,,
1.7,0.2,,,1.9,0.17,,,,,,,1.6,0.42,,,,,Force (N),Position (m),,,,,
1.7,0.2,,,1.9,0.17,,,,,,,1.7,0.42,,,,,2.2,0.19,,,,,
1.7,0.2,,,,,,,,,,,1.6,0.42,,,,,2.2,0.19,,,,,
1.7,0.2,,,,,,,,,,,1.6,0.42,,,,,2.2,0.19,,,,220,
1.7,0.2,,,190,,,,,,,,1.7,0.42,,,,,2.2,0.19,,,,Run #86,Run #86
1.7,0.2,,,Run #31,Run #31,,,,,,,,,,,,,2.2,0.19,,,,Force (N),Position (m)
1.7,0.2,,,Force (N),Position (m),,,,,,,,,,,,,2.2,0.19,,,,2.2,0.41
1.7,0.2,,,2,0.17,,,,,,,,,,,,,2.2,0.19,,,,2.1,0.41
1.7,0.2,,,2,0.17,,,,,,,170,,,,,,2.2,0.19,,,,2.1,0.41
,,,,2,0.17,,,,,,,Run #57,Run #57,,,,,2.2,0.19,,,,2.2,0.41
180,,,,2,0.17,,,,,,,Force (N),Position (m),,,,,2.2,0.19,,,,2.2,0.41
Run #18,Run #18,,,2,0.17,,,,,,,1.8,1.35,,,,,2.2,0.19,,,,2.2,0.41
Force (N),Position (m),,,2,0.17,,,,,,,1.7,1.35,,,,,2.2,0.19,,,,2.2,0.41
1.8,0.2,,,2,0.17,,,,,,,1.8,1.35,,,,,,,,,,2.2,0.41
1.8,0.2,,,2,0.17,,,,,,,1.8,1.35,,,,,,,,,,2.2,0.41
1.8,0.2,,,2,0.17,,,,,,,1.7,1.35,,,,,,,,,,2.2,0.41
1.8,0.2,,,2,0.17,,,,,,,1.8,1.35,,,,,,,,,,2.2,0.41
1.8,0.2,,,2,0.17,,,,,,,1.7,1.35,,,,,,,,,,2.1,0.41
1.8,0.2,,,2,0.17,,,,,,,1.7,1.35,,,,,,,,,,2.2,0.41
1.7,0.2,,,,,,,,,,,1.8,1.35,,,,,,,,,,,
1.8,0.2,,,,,,,,,,,1.7,1.35,,,,,,,,,,,
1.8,0.2,,,200,,,,,,,,1.7,1.35,,,,,,,,,,,
1.8,0.2,,,Run #33,Run #33,,,,,,,1.8,1.35,,,,,,,,,,240,
1.8,0.2,,,Force (N),Position (m),,,,,,,1.7,1.35,,,,,,,,,,Run #87,Run #87
1.8,0.2,,,2.2,0.18,,,,,,,,,,,,,,,,,,Force (N),Position (m)
1.8,0.2,,,2.2,0.18,,,,,,,,,,,,,,,,,,2.4,0.42
1.8,0.2,,,2.2,0.18,,,,,,,,,,,,,,,,,,2.4,0.42
1.8,0.2,,,2.2,0.18,,,,,,,180,,,,,,,,,,,2.4,0.42
,,,,2.2,0.18,,,,,,,Run #58,Run #58,,,,,,,,,,2.4,0.42
190,,,,2.2,0.18,,,,,,,Force (N),Position (m),,,,,,,,,,2.4,0.42
Run #19,Run #19,,,2.2,0.18,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
Force (N),Position (m),,,2.2,0.18,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.8,0.21,,,2.2,0.18,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.9,0.21,,,2.2,0.18,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.9,0.21,,,2.2,0.18,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.9,0.21,,,2.2,0.18,,,,,,,1.9,0.45,,,,,,,,,,2.4,0.42
1.9,0.21,,,2.2,0.18,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.9,0.21,,,2.2,0.18,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.9,0.21,,,,,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.9,0.21,,,,,,,,,,,1.8,0.45,,,,,,,,,,2.4,0.42
1.8,0.21,,,,,,,,,,,1.8,0.45,,,,,,,,,,,
1.9,0.21,,,,,,,,,,,1.8,0.45,,,,,,,,,,,
1.8,0.2,,,,,,,,,,,1.8,0.45,,,,,,,,,,,
1.8,0.2,,,,,,,,,,,,,,,,,,,,,,,
1.8,0.21,,,,,,,,,,,,,,,,,,,,,,,
1.8,0.21,,,,,,,,,,,190,,,,,,,,,,,,
1.9,0.21,,,,,,,,,,,Run #59,Run #59,,,,,,,,,,,
,,,,,,,,,,,,Force (N),Position (m),,,,,,,,,,,
,,,,,,,,,,,,1.9,0.46,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.46,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.47,,,,,,,,,,,
,,,,,,,,,,,,2,0.47,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.47,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.47,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.47,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.47,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.47,,,,,,,,,,,
,,,,,,,,,,,,1.9,0.47,,,,,,,,,,,
,,,,displacement,mass,delta x,delta m,,,,,1.9,0.48,,,,,,,,,,,
,,,blue,0.03,110,0.004577377082,0.05,,,,,1.9,0.47,,,,,,,,,,,
,,,green,0,110,0.003892494721,0.05,,,,,1.9,0.48,,,,,,,,,,,
,,,red,0.04,110,0.006887372317,0.05,,,,,,,,,,,,,,,,,
,,,red-green,0.05,110,0.008770580193,0.05,,,,,,,,,,,,,,,,,
,,,blue parallel,0.02,110,0.007507571935,0.05,,,,,,,,,,,,,,,,,
,,,blue par green,0.01,110,0.006629935441,0.05,,,,,,,,,,,,,,,,,
